contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
83,WT_3M_FORCE_OPEN_SMA_PCT,ENTRY,01_ENTRY_SIGNALS,float,1.0,[1.0],"Read WT_3M_FORCE_OPEN_SMA_PCT with authoritative default 1.0 at ez_manage.py:37847:_process_single_override_check:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37847:_process_single_override_check:getattr,_process_single_override_check,[],THRESHOLD_PREDICATE,"[""atr_D"",""dc_basis_D"",""dc_high_3m"",""dc_low_3m"",""sma_200_15m"",""wt1_15m"",""wt1_1h"",""wt1_3m"",""wt1_D"",""wt1_W"",""wt1_{_a}"",""wt2_15m"",""wt2_1h"",""wt2_3m"",""wt2_D"",""wt2_W"",""wt2_{_a}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""1.0"",""source"":""READ_FALLBACK:ez_manage.py:37847"",""value"":1.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
84,WT_3M_OPEN_GATE_ENABLED,WT_3M_OPEN,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read WT_3M_OPEN_GATE_ENABLED with authoritative default False at v12_wide_engine.py:6008:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:6008:simulate_one_symbol:getattr,simulate_one_symbol,"[""WT_3M_FORCE_OPEN_GR_GATE_ENABLED"",""WT_4H_VEL_MANDATORY_REENTRY_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_3m"",""high_3m"",""low_3m"",""wt1_3m"",""wt2_3m""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""3m""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:6008"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
85,WT_COMPOSITE_ENTRY_BLOCK,ENTRY,01_ENTRY_SIGNALS,float,-20.0,[-20.0],"Read WT_COMPOSITE_ENTRY_BLOCK with authoritative default -20.0 at ez_positions_quick.py:2418:rate:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2418:rate:getattr,rate,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""-20.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2418"",""value"":-20.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
86,WT_COMPOSITE_ENTRY_GOOD,ENTRY,01_ENTRY_SIGNALS,float,30.0,[30.0],"Read WT_COMPOSITE_ENTRY_GOOD with authoritative default 30.0 at ez_positions_quick.py:2429:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2429:rate:getattr,rate,[],ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""30.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2429"",""value"":30.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
87,WT_COMPOSITE_ENTRY_OK,ENTRY,01_ENTRY_SIGNALS,float,10.0,[10.0],"Read WT_COMPOSITE_ENTRY_OK with authoritative default 10.0 at ez_positions_quick.py:2430:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2430:rate:getattr,rate,"[""R_S1_WT_COMPOSITE_DELTA_USE_ENABLED""]",ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""10.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2430"",""value"":10.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
88,WT_COMPOSITE_ENTRY_STRONG,ENTRY,01_ENTRY_SIGNALS,float,50.0,[50.0],"Read WT_COMPOSITE_ENTRY_STRONG with authoritative default 50.0 at ez_positions_quick.py:2428:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2428:rate:getattr,rate,[],ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""50.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2428"",""value"":50.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
89,WT_CROSSUNDER_REFINED_BYPASS_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read WT_CROSSUNDER_REFINED_BYPASS_ENABLED with authoritative default False at v12_wide_engine.py:9184:simulate_one_symbol:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:9184:simulate_one_symbol:getattr,simulate_one_symbol,[],THRESHOLD_PREDICATE,"[""wt1_3m"",""wt2_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:9184"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""np.zeros(n"",""field"":""wt1_3m""},{""expression"":""np.zeros(n"",""field"":""wt2_3m""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
90,WT_DC_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[true,false]","Read WT_DC_ENTRY_ENABLED with authoritative default False at ez_positions_quick.py:2106:rate:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2106:rate:getattr,rate,"[""STOCH_CROSS_ENTRY_ENABLED"",""WT_DC_LONG_ENABLED"",""WT_DC_SHORT_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""dc_basis_15m"",""dc_basis_1h"",""dc_basis_4h"",""dc_basis_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:2106"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
91,WT_PERCENTILE_ENTRY_OB_D,ENTRY,01_ENTRY_SIGNALS,float,90.0,[90.0],"Read WT_PERCENTILE_ENTRY_OB_D with authoritative default 90.0 at ez_positions_quick.py:2215:rate:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2215:rate:getattr,rate,"[""R_G10_HTF_DIV_GATE_ENABLED"",""WT_DIV_ENTRY_GATE_ENABLED"",""WT_EXHAUST_ENTRY_GATE_ENABLED"",""WT_PERCENTILE_ENTRY_GATE_ENABLED""]",THRESHOLD_PREDICATE,"[""close_D"",""high_D"",""low_D"",""wt1_D"",""wt2_D""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""D""]","{""expression"":""90.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2215"",""value"":90.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
92,WT_PERCENTILE_ENTRY_OS_D,ENTRY,01_ENTRY_SIGNALS,float,10.0,[10.0],"Read WT_PERCENTILE_ENTRY_OS_D with authoritative default 10.0 at ez_positions_quick.py:2217:rate:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2217:rate:getattr,rate,"[""R_G10_HTF_DIV_GATE_ENABLED"",""WT_DIV_ENTRY_GATE_ENABLED"",""WT_PERCENTILE_ENTRY_GATE_ENABLED""]",THRESHOLD_PREDICATE,"[""close_D"",""high_D"",""low_D"",""wt1_D"",""wt2_D""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""D""]","{""expression"":""10.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2217"",""value"":10.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
93,BB_PULLBACK_GATE_TF,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,str,15m,"[""15m""]","Read BB_PULLBACK_GATE_TF with authoritative default '15m' at tradier_manage.py:7426:process_position:_cfg; apply it only through the cited source statement using MULTIPLICATIVE_OR_SIZING_PARAMETER. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:7426:process_position:_cfg,process_position,"[""BB_PULLBACK_GATE_ENABLED""]",MULTIPLICATIVE_OR_SIZING_PARAMETER,"[""atr_D"",""bb_pct_b_{_bb_tf_gate}"",""bb_pct_b_{_bb_tf}"",""bb_pct_b_{_brs_tf}"",""open_D"",""rsi_{_brs_tf}"",""stoch_k_{_brs_tf}"",""wt1_1h"",""wt1_4h"",""wt1_D"",""wt1_{_htf_tf}"",""wt2_1h"",""wt2_4h"",""wt2_D"",""wt2_{_htf_tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""15m""]","{""source"":""AUTHORITATIVE_DEFINITION"",""value"":""15m""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
94,B_MAIN_ENTRY_GATE_ENABLED,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,False,"[false,true]","Read B_MAIN_ENTRY_GATE_ENABLED with authoritative default False at v12_wide_engine.py:2763:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:2763:simulate_one_symbol:getattr,simulate_one_symbol,"[""BTC_RZ_AS_BOOST_ENABLED"",""CLENOW_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:2763"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
95,DELTA_GATE_STRONG_BUY_QUICK_BYPASS,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,True,"[false,true]","Read DELTA_GATE_STRONG_BUY_QUICK_BYPASS with authoritative default True at ez_manage.py:19935:execute_trade_action:getattr; apply it only through the cited source statement using MULTIPLICATIVE_OR_SIZING_PARAMETER. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:19935:execute_trade_action:getattr,execute_trade_action,[],MULTIPLICATIVE_OR_SIZING_PARAMETER,"[""atr_15m"",""atr_15m_prev"",""atr_1h"",""atr_1h_prev"",""atr_3m"",""atr_3m_prev"",""atr_4h"",""atr_4h_prev"",""atr_D"",""atr_D_prev"",""dc_basis_15m"",""dc_basis_15m_ant"",""dc_basis_1h"",""dc_basis_3m"",""dc_basis_4h"",""dc_basis_D"",""dc_basis_crossover_15m"",""dc_basis_crossover_1h"",""dc_basis_crossover_3m"",""dc_basis_crossover_4h"",""dc_basis_crossover_D"",""dc_basis_crossunder_15m"",""dc_basis_crossunder_1h"",""dc_basis_crossunder_3m"",""dc_basis_crossunder_4h"",""dc_basis_crossunder_D"",""dc_high_15m"",""dc_high_15m_ant"",""dc_high_1h"",""dc_high_1h_ant"",""dc_high_1h_prev"",""dc_high_3m"",""dc_high_3m_ant"",""dc_high_4h"",""dc_high_4h_ant"",""dc_high_D"",""dc_high_D_ant"",""dc_high_crossover_15m"",""dc_high_crossover_1h"",""dc_high_crossover_3m"",""dc_high_crossover_4h"",""dc_high_crossover_D"",""dc_high_crossunder_15m"",""dc_high_crossunder_1h"",""dc_high_crossunder_3m"",""dc_high_crossunder_4h"",""dc_high_crossunder_D"",""dc_low_15m"",""dc_low_15m_ant"",""dc_low_1h"",""dc_low_1h_ant"",""dc_low_1h_prev"",""dc_low_3m"",""dc_low_3m_ant"",""dc_low_4h"",""dc_low_4h_ant"",""dc_low_D"",""dc_low_D_ant"",""dc_low_crossover_15m"",""dc_low_crossover_1h"",""dc_low_crossover_3m"",""dc_low_crossover_4h"",""dc_low_crossover_D"",""dc_low_crossunder_15m"",""dc_low_crossunder_1h"",""dc_low_crossunder_3m"",""dc_low_crossunder_4h"",""dc_low_crossunder_D"",""ema_20_15m"",""ema_20_1h"",""ema_20_3m"",""ema_20_4h"",""ema_20_std_3m"",""ema_20_std_4h"",""ema_50_15m"",""ema_50_1h"",""ema_50_3m"",""ema_50_4h"",""high_15m"",""high_15m_prev"",""high_1h"",""high_1h_prev"",""high_3m"",""high_3m_prev"",""high_4h"",""high_4h_prev"",""high_D"",""low_15m"",""low_15m_prev"",""low_1h"",""low_1h_prev"",""low_3m"",""low_3m_prev"",""low_4h"",""low_4h_prev"",""low_D"",""lrL_slope_{_bs_tf}"",""mfi_15m"",""mfi_1h"",""mfi_3m"",""mfi_4h"",""mfi_D"",""rsi_15m"",""rsi_1h"",""rsi_3m"",""rsi_4h"",""rsi_D"",""sma_200_15m"",""sma_200_15m_prev"",""sma_200_1h"",""sma_200_1h_prev"",""sma_200_1m"",""sma_200_1m_prev"",""sma_200_4h"",""sma_200_4h_prev"",""sma_200_D"",""sma_200_D_prev"",""wt1_15m"",""wt1_1h"",""wt1_3m"",""wt1_4h"",""wt1_D"",""wt2_15m"",""wt2_1h"",""wt2_3m"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:19935"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
96,HAIKU_ENTRY_GATE_ENABLED,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,False,"[false,true]","Read HAIKU_ENTRY_GATE_ENABLED with authoritative default False at v12_wide_engine.py:3642:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:3642:simulate_one_symbol:getattr,simulate_one_symbol,"[""GUARD_ENABLED"",""HAIKU_WINNER_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:3642"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
97,HTF_GATE_SIGNALS_SMA200D,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,True,"[false,true]","Read HTF_GATE_SIGNALS_SMA200D with authoritative default True at ez_manage.py:31676:ratio_rebalance_loop:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:31676:ratio_rebalance_loop:getattr,ratio_rebalance_loop,[],THRESHOLD_PREDICATE,"[""sma_200_D"",""wt1_1h"",""wt1_4h"",""wt1_D"",""wt2_1h"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:31676"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
98,MTF_FILTER_STRONG_BUY_QUICK_BYPASS,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,True,"[false,true]","Read MTF_FILTER_STRONG_BUY_QUICK_BYPASS with authoritative default True at ez_manage.py:24179:execute_now:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24179:execute_now:getattr,execute_now,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:24179"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
99,WT_3M_FORCE_OPEN_GR_GATE_ENABLED,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,bool,False,"[false,true]","Read WT_3M_FORCE_OPEN_GR_GATE_ENABLED with authoritative default False at ez_manage.py:37808:_process_single_override_check:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37808:_process_single_override_check:getattr,_process_single_override_check,[],THRESHOLD_PREDICATE,"[""close_3m"",""high_3m"",""low_3m"",""wt1_3m"",""wt2_3m""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""3m""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:37808"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
100,WT_3M_FORCE_OPEN_GR_MIN_TFS,ENTRY,02_ENTRY_FILTERS_CONFIRMATIONS,int,4,[4],"Read WT_3M_FORCE_OPEN_GR_MIN_TFS with authoritative default 4 at ez_manage.py:37806:_process_single_override_check:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37806:_process_single_override_check:getattr,_process_single_override_check,"[""WT_3M_FORCE_OPEN_GR_GATE_ENABLED""]",THRESHOLD_PREDICATE,"[""dc_high_3m"",""dc_low_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""0"",""source"":""READ_FALLBACK:ez_manage.py:37806"",""value"":0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
